game,mechanism,model,experiment_dir,run,log_file,records,outcome,rate_pp
PD,punishment,Claude-Opus-4-6,prisoners_dilemma_punishment/080401_claude-opus-4-6-three,1,prisoners_dilemma_punishment/080401_claude-opus-4-6-three/data/game_log1.json,120,cooperation,100.0
PD,punishment,Claude-Opus-4-6,prisoners_dilemma_punishment/080401_claude-opus-4-6-three,2,prisoners_dilemma_punishment/080401_claude-opus-4-6-three/data/game_log2.json,120,cooperation,100.0
PD,punishment,Claude-Opus-4-6,prisoners_dilemma_punishment/080401_claude-opus-4-6-three,3,prisoners_dilemma_punishment/080401_claude-opus-4-6-three/data/game_log3.json,120,cooperation,100.0
PD,punishment,Gemini-3.1-Pro-Preview,prisoners_dilemma_punishment/080402_gemini-3.1-pro-preview-three,1,prisoners_dilemma_punishment/080402_gemini-3.1-pro-preview-three/data/game_log1.json,120,cooperation,5.416666666666667
PD,punishment,Gemini-3.1-Pro-Preview,prisoners_dilemma_punishment/080402_gemini-3.1-pro-preview-three,2,prisoners_dilemma_punishment/080402_gemini-3.1-pro-preview-three/data/game_log2.json,120,cooperation,7.916666666666666
PD,punishment,Gemini-3.1-Pro-Preview,prisoners_dilemma_punishment/080402_gemini-3.1-pro-preview-three,3,prisoners_dilemma_punishment/080402_gemini-3.1-pro-preview-three/data/game_log3.json,120,cooperation,14.166666666666666
PD,punishment,GPT-5.4,prisoners_dilemma_punishment/080403_gpt-5.4-three,1,prisoners_dilemma_punishment/080403_gpt-5.4-three/data/game_log1.json,120,cooperation,0.0
PD,punishment,GPT-5.4,prisoners_dilemma_punishment/080403_gpt-5.4-three,2,prisoners_dilemma_punishment/080403_gpt-5.4-three/data/game_log2.json,120,cooperation,0.0
PD,punishment,GPT-5.4,prisoners_dilemma_punishment/080403_gpt-5.4-three,3,prisoners_dilemma_punishment/080403_gpt-5.4-three/data/game_log3.json,120,cooperation,0.0
PD,punishment,Kimi-K2.6,prisoners_dilemma_punishment/080404_kimi-k2.6-three,1,prisoners_dilemma_punishment/080404_kimi-k2.6-three/data/game_log1.json,120,cooperation,0.8333333333333334
PD,punishment,Kimi-K2.6,prisoners_dilemma_punishment/080404_kimi-k2.6-three,2,prisoners_dilemma_punishment/080404_kimi-k2.6-three/data/game_log2.json,120,cooperation,1.25
PD,punishment,Kimi-K2.6,prisoners_dilemma_punishment/080404_kimi-k2.6-three,3,prisoners_dilemma_punishment/080404_kimi-k2.6-three/data/game_log3.json,120,cooperation,2.083333333333333
PD,punishment,Grok-4.3,prisoners_dilemma_punishment/080405_grok-4.3-three,1,prisoners_dilemma_punishment/080405_grok-4.3-three/data/game_log1.json,120,cooperation,37.5
PD,punishment,Grok-4.3,prisoners_dilemma_punishment/080405_grok-4.3-three,2,prisoners_dilemma_punishment/080405_grok-4.3-three/data/game_log2.json,120,cooperation,32.5
PD,punishment,Grok-4.3,prisoners_dilemma_punishment/080405_grok-4.3-three,3,prisoners_dilemma_punishment/080405_grok-4.3-three/data/game_log3.json,120,cooperation,38.333333333333336
PD,punishment,GLM-5.1,prisoners_dilemma_punishment/080408_glm-5.1-three,1,prisoners_dilemma_punishment/080408_glm-5.1-three/data/game_log1.json,120,cooperation,1.6666666666666667
PD,punishment,GLM-5.1,prisoners_dilemma_punishment/080408_glm-5.1-three,2,prisoners_dilemma_punishment/080408_glm-5.1-three/data/game_log2.json,120,cooperation,1.6666666666666667
PD,punishment,GLM-5.1,prisoners_dilemma_punishment/080408_glm-5.1-three,3,prisoners_dilemma_punishment/080408_glm-5.1-three/data/game_log3.json,120,cooperation,0.4166666666666667
PD,reputation,GPT-5.4,prisoners_dilemma_reputation/072801_gpt-5.4_three,1,prisoners_dilemma_reputation/072801_gpt-5.4_three/data/game_log1.json,120,cooperation,0.0
PD,reputation,GPT-5.4,prisoners_dilemma_reputation/072801_gpt-5.4_three,2,prisoners_dilemma_reputation/072801_gpt-5.4_three/data/game_log2.json,120,cooperation,0.4166666666666667
PD,reputation,GPT-5.4,prisoners_dilemma_reputation/072801_gpt-5.4_three,3,prisoners_dilemma_reputation/072801_gpt-5.4_three/data/game_log3.json,120,cooperation,0.0
PD,reputation,Gemini-3.1-Pro-Preview,prisoners_dilemma_reputation/072802_gemini-3.1-pro-preview-three,1,prisoners_dilemma_reputation/072802_gemini-3.1-pro-preview-three/data/game_log1.json,120,cooperation,100.0
PD,reputation,Gemini-3.1-Pro-Preview,prisoners_dilemma_reputation/072802_gemini-3.1-pro-preview-three,2,prisoners_dilemma_reputation/072802_gemini-3.1-pro-preview-three/data/game_log2.json,120,cooperation,100.0
PD,reputation,Gemini-3.1-Pro-Preview,prisoners_dilemma_reputation/072802_gemini-3.1-pro-preview-three,3,prisoners_dilemma_reputation/072802_gemini-3.1-pro-preview-three/data/game_log3.json,120,cooperation,100.0
PD,reputation,Claude-Opus-4-6,prisoners_dilemma_reputation/072803_claude-opus-4-6-three,1,prisoners_dilemma_reputation/072803_claude-opus-4-6-three/data/game_log1.json,120,cooperation,100.0
PD,reputation,Claude-Opus-4-6,prisoners_dilemma_reputation/072803_claude-opus-4-6-three,2,prisoners_dilemma_reputation/072803_claude-opus-4-6-three/data/game_log2.json,120,cooperation,100.0
PD,reputation,Claude-Opus-4-6,prisoners_dilemma_reputation/072803_claude-opus-4-6-three,3,prisoners_dilemma_reputation/072803_claude-opus-4-6-three/data/game_log3.json,120,cooperation,100.0
PD,reputation,Kimi-K2.6,prisoners_dilemma_reputation/072804_kimi-k2.6-three,1,prisoners_dilemma_reputation/072804_kimi-k2.6-three/data/game_log1.json,120,cooperation,1.25
PD,reputation,Kimi-K2.6,prisoners_dilemma_reputation/072804_kimi-k2.6-three,2,prisoners_dilemma_reputation/072804_kimi-k2.6-three/data/game_log2.json,120,cooperation,1.25
PD,reputation,Kimi-K2.6,prisoners_dilemma_reputation/072804_kimi-k2.6-three,3,prisoners_dilemma_reputation/072804_kimi-k2.6-three/data/game_log3.json,120,cooperation,1.6666666666666667
PD,reputation,Grok-4.3,prisoners_dilemma_reputation/072805_grok-4.3-three,1,prisoners_dilemma_reputation/072805_grok-4.3-three/data/game_log1.json,120,cooperation,0.0
PD,reputation,Grok-4.3,prisoners_dilemma_reputation/072805_grok-4.3-three,2,prisoners_dilemma_reputation/072805_grok-4.3-three/data/game_log2.json,120,cooperation,0.0
PD,reputation,Grok-4.3,prisoners_dilemma_reputation/072805_grok-4.3-three,3,prisoners_dilemma_reputation/072805_grok-4.3-three/data/game_log3.json,120,cooperation,0.0
PD,reputation,GLM-5.1,prisoners_dilemma_reputation/072806_glm-5.1-three,1,prisoners_dilemma_reputation/072806_glm-5.1-three/data/game_log1.json,120,cooperation,4.166666666666666
PD,reputation,GLM-5.1,prisoners_dilemma_reputation/072806_glm-5.1-three,2,prisoners_dilemma_reputation/072806_glm-5.1-three/data/game_log2.json,120,cooperation,7.916666666666666
PD,reputation,GLM-5.1,prisoners_dilemma_reputation/072806_glm-5.1-three,3,prisoners_dilemma_reputation/072806_glm-5.1-three/data/game_log3.json,120,cooperation,6.666666666666667
PD,reward,Gemini-3.1-Pro-Preview,prisoners_dilemma_reward/082602_gemini-3.1-pro-preview-three,1,prisoners_dilemma_reward/082602_gemini-3.1-pro-preview-three/data/game_log1.json,120,cooperation,87.91666666666667
PD,reward,Gemini-3.1-Pro-Preview,prisoners_dilemma_reward/082602_gemini-3.1-pro-preview-three,2,prisoners_dilemma_reward/082602_gemini-3.1-pro-preview-three/data/game_log2.json,120,cooperation,88.75
