game,outcome,model,baseline_pp,source
PD,cooperation,GLM-5.1,0.0,retained RQ1 summary table supplied by researcher
PD,cooperation,GPT-5.4,0.0,retained RQ1 summary table supplied by researcher
PD,cooperation,Gemini-3.1-Pro-Preview,4.86,retained RQ1 summary table supplied by researcher
PD,cooperation,Claude-Opus-4-6,100.0,retained RQ1 summary table supplied by researcher
PD,cooperation,Kimi-K2.6,0.0,retained RQ1 summary table supplied by researcher
PD,cooperation,Grok-4.3,0.0,retained RQ1 summary table supplied by researcher
PGG,contribution,GLM-5.1,0.0,retained RQ1 summary table supplied by researcher
PGG,contribution,GPT-5.4,0.0,retained RQ1 summary table supplied by researcher
PGG,contribution,Gemini-3.1-Pro-Preview,0.0,retained RQ1 summary table supplied by researcher
PGG,contribution,Claude-Opus-4-6,2.25,retained RQ1 summary table supplied by researcher
PGG,contribution,Kimi-K2.6,0.0,retained RQ1 summary table supplied by researcher
PGG,contribution,Grok-4.3,0.0,retained RQ1 summary table supplied by researcher
TG,sender,GLM-5.1,30.21,retained RQ1 summary table supplied by researcher
TG,sender,GPT-5.4,11.12,retained RQ1 summary table supplied by researcher
TG,sender,Gemini-3.1-Pro-Preview,27.68,retained RQ1 summary table supplied by researcher
TG,sender,Claude-Opus-4-6,27.53,retained RQ1 summary table supplied by researcher
TG,sender,Kimi-K2.6,11.73,retained RQ1 summary table supplied by researcher
TG,sender,Grok-4.3,3.7,retained RQ1 summary table supplied by researcher
TG,receiver,GLM-5.1,9.85,retained RQ1 summary table supplied by researcher
TG,receiver,GPT-5.4,10.96,retained RQ1 summary table supplied by researcher
TG,receiver,Gemini-3.1-Pro-Preview,26.16,retained RQ1 summary table supplied by researcher
TG,receiver,Claude-Opus-4-6,37.57,retained RQ1 summary table supplied by researcher
TG,receiver,Kimi-K2.6,20.69,retained RQ1 summary table supplied by researcher
TG,receiver,Grok-4.3,0.74,retained RQ1 summary table supplied by researcher
