game,mechanism,outcome,model,calculated_mean_pp,table_mean_pp,calculated_sd_pp,table_sd_pp,mean_matches_2dp,sd_matches_2dp,fully_matches_2dp
PD,punishment,cooperation,GLM-5.1,1.25,1.25,0.7216878364870322,0.72,True,True,True
PD,punishment,cooperation,GPT-5.4,0.0,0.0,0.0,0.0,True,True,True
PD,punishment,cooperation,Gemini-3.1-Pro-Preview,9.166666666666666,9.17,4.5069390943299865,4.51,True,True,True
PD,punishment,cooperation,Claude-Opus-4-6,100.0,100.0,0.0,0.0,True,True,True
PD,punishment,cooperation,Kimi-K2.6,1.3888888888888886,1.39,0.6364688465216443,0.64,True,True,True
PD,punishment,cooperation,Grok-4.3,36.111111111111114,36.11,3.154949081000153,3.15,True,True,True
PD,reputation,cooperation,GLM-5.1,6.25,6.25,1.9094065395649336,1.91,True,True,True
PD,reputation,cooperation,GPT-5.4,0.1388888888888889,0.14,0.2405626121623441,0.24,True,True,True
PD,reputation,cooperation,Gemini-3.1-Pro-Preview,100.0,100.0,0.0,0.0,True,True,True
PD,reputation,cooperation,Claude-Opus-4-6,100.0,100.0,0.0,0.0,True,True,True
PD,reputation,cooperation,Kimi-K2.6,1.388888888888889,1.39,0.24056261216234412,0.24,True,True,True
PD,reputation,cooperation,Grok-4.3,0.0,0.0,0.0,0.0,True,True,True
PD,reward,cooperation,GLM-5.1,8.333333333333334,8.33,1.8162078931419474,1.82,True,True,True
PD,reward,cooperation,GPT-5.4,0.0,0.0,0.0,0.0,True,True,True
PD,reward,cooperation,Gemini-3.1-Pro-Preview,87.77777777777779,87.78,1.048588116009824,1.05,True,True,True
PD,reward,cooperation,Claude-Opus-4-6,100.0,100.0,0.0,0.0,True,True,True
PD,reward,cooperation,Kimi-K2.6,70.13888888888887,70.14,2.6787918780535995,2.68,True,True,True
PD,reward,cooperation,Grok-4.3,3.75,3.75,0.0,0.0,True,True,True
PGG,punishment,contribution,GLM-5.1,98.20486111111111,98.2,1.1637799107028661,1.16,True,True,True
PGG,punishment,contribution,GPT-5.4,0.0,0.0,0.0,0.0,True,True,True
PGG,punishment,contribution,Gemini-3.1-Pro-Preview,99.9537037037037,99.95,0.08018753738744619,0.08,True,True,True
PGG,punishment,contribution,Claude-Opus-4-6,75.0,75.0,0.0,0.0,True,True,True
PGG,punishment,contribution,Kimi-K2.6,0.1388888888888889,0.14,0.2405626121623441,0.24,True,True,True
PGG,punishment,contribution,Grok-4.3,24.65277777777778,21.73,2.3570226039551603,3.96,False,False,False
PGG,reputation,contribution,GLM-5.1,2.0694444444444446,2.07,3.346703509831137,3.35,True,True,True
PGG,reputation,contribution,GPT-5.4,97.08333333333333,97.08,0.6944444444444429,0.69,True,True,True
PGG,reputation,contribution,Gemini-3.1-Pro-Preview,99.8611111111111,99.86,0.24056261216234678,0.24,True,True,True
PGG,reputation,contribution,Claude-Opus-4-6,50.0,50.0,0.0,0.0,True,True,True
PGG,reputation,contribution,Kimi-K2.6,0.7754629629629631,0.78,0.40542314555872677,0.41,True,True,True
PGG,reputation,contribution,Grok-4.3,0.0,0.0,0.0,0.0,True,True,True
PGG,reward,contribution,GLM-5.1,10.032407407407407,10.03,2.111354761768176,2.11,True,True,True
PGG,reward,contribution,GPT-5.4,2.314814814814815,2.31,1.425444844290801,1.43,True,True,True
PGG,reward,contribution,Gemini-3.1-Pro-Preview,3.5648148148148144,3.56,0.7649403537897363,0.76,True,True,True
PGG,reward,contribution,Claude-Opus-4-6,13.752314814814815,13.75,3.7559387987942605,3.76,True,True,True
PGG,reward,contribution,Kimi-K2.6,0.41203703703703703,0.41,0.3595943931320627,0.36,True,True,True
PGG,reward,contribution,Grok-4.3,0.0,0.0,0.0,0.0,True,True,True
TG,punishment,sender,GLM-5.1,64.19444444444444,64.19,0.6637668414082483,0.66,True,True,True
TG,punishment,sender,GPT-5.4,78.60185185185185,78.6,3.463470452020122,3.46,True,True,True
TG,punishment,sender,Gemini-3.1-Pro-Preview,100.0,100.0,0.0,0.0,True,True,True
TG,punishment,sender,Claude-Opus-4-6,99.58333333333333,99.58,0.04811252243246608,0.05,True,True,True
TG,punishment,sender,Kimi-K2.6,80.35185185185186,80.35,1.0816701382888672,1.08,True,True,True
TG,punishment,sender,Grok-4.3,91.57407407407408,91.57,5.134708008976627,5.13,True,True,True
