game,mechanism,model,experiment_dir,run,log_file,records,net_welfare_normalized_pp,payoff_equality_level
PD,punishment,Claude-Opus-4-6,prisoners_dilemma_punishment/080401_claude-opus-4-6-three,1,prisoners_dilemma_punishment/080401_claude-opus-4-6-three/data/game_log1.json,120,100.0,0.8454861111111112
PD,punishment,Claude-Opus-4-6,prisoners_dilemma_punishment/080401_claude-opus-4-6-three,2,prisoners_dilemma_punishment/080401_claude-opus-4-6-three/data/game_log2.json,120,100.0,0.846875
PD,punishment,Claude-Opus-4-6,prisoners_dilemma_punishment/080401_claude-opus-4-6-three,3,prisoners_dilemma_punishment/080401_claude-opus-4-6-three/data/game_log3.json,120,100.0,0.8454861111111112
PD,punishment,Gemini-3.1-Pro-Preview,prisoners_dilemma_punishment/080402_gemini-3.1-pro-preview-three,1,prisoners_dilemma_punishment/080402_gemini-3.1-pro-preview-three/data/game_log1.json,120,8.125,0.7573178016726405
PD,punishment,Gemini-3.1-Pro-Preview,prisoners_dilemma_punishment/080402_gemini-3.1-pro-preview-three,2,prisoners_dilemma_punishment/080402_gemini-3.1-pro-preview-three/data/game_log2.json,120,10.625,0.8237399770904927
PD,punishment,Gemini-3.1-Pro-Preview,prisoners_dilemma_punishment/080402_gemini-3.1-pro-preview-three,3,prisoners_dilemma_punishment/080402_gemini-3.1-pro-preview-three/data/game_log3.json,120,20.0,0.7373511904761905
PD,punishment,GPT-5.4,prisoners_dilemma_punishment/080403_gpt-5.4-three,1,prisoners_dilemma_punishment/080403_gpt-5.4-three/data/game_log1.json,120,0.0,0.8454861111111112
PD,punishment,GPT-5.4,prisoners_dilemma_punishment/080403_gpt-5.4-three,2,prisoners_dilemma_punishment/080403_gpt-5.4-three/data/game_log2.json,120,0.0,0.8482638888888889
PD,punishment,GPT-5.4,prisoners_dilemma_punishment/080403_gpt-5.4-three,3,prisoners_dilemma_punishment/080403_gpt-5.4-three/data/game_log3.json,120,0.0,0.8454861111111112
PD,punishment,Kimi-K2.6,prisoners_dilemma_punishment/080404_kimi-k2.6-three,1,prisoners_dilemma_punishment/080404_kimi-k2.6-three/data/game_log1.json,120,0.20833333333333334,0.8224412171507607
PD,punishment,Kimi-K2.6,prisoners_dilemma_punishment/080404_kimi-k2.6-three,2,prisoners_dilemma_punishment/080404_kimi-k2.6-three/data/game_log2.json,120,1.875,0.8167670682730925
