model,game,run,records,source_file
Llama 3 8B,PD,game_log1,120,RQ1_old_result/result_prisoners_dilemma_group/10轮_3次_012404_llama3-8b/data/game_log1.json
Llama 3 8B,PD,game_log2,120,RQ1_old_result/result_prisoners_dilemma_group/10轮_3次_012404_llama3-8b/data/game_log2.json
Llama 3 8B,PD,game_log3,120,RQ1_old_result/result_prisoners_dilemma_group/10轮_3次_012404_llama3-8b/data/game_log3.json
Llama 3 8B,PGG,game_logs1,30,RQ1_old_result/result_public_goods_group/llama3-8b-three/game_logs1.json
Llama 3 8B,PGG,game_logs2,30,RQ1_old_result/result_public_goods_group/llama3-8b-three/game_logs2.json
Llama 3 8B,PGG,game_logs3,30,RQ1_old_result/result_public_goods_group/llama3-8b-three/game_logs3.json
Llama 3 8B,TG,game_log1,360,RQ1_old_result/result_trust_game_population/30lun_3ci_012401_llama3-8b/data/game_log1.json
Llama 3 8B,TG,game_log2,360,RQ1_old_result/result_trust_game_population/30lun_3ci_012401_llama3-8b/data/game_log2.json
Llama 3 8B,TG,game_log3,360,RQ1_old_result/result_trust_game_population/30lun_3ci_012401_llama3-8b/data/game_log3.json
Llama 3 70B,PD,game_log1,120,RQ1_old_result/result_prisoners_dilemma_group/10轮_3次_012403_llama3-70b/data/game_log1.json
Llama 3 70B,PD,game_log2,120,RQ1_old_result/result_prisoners_dilemma_group/10轮_3次_012403_llama3-70b/data/game_log2.json
Llama 3 70B,PD,game_log3,120,RQ1_old_result/result_prisoners_dilemma_group/10轮_3次_012403_llama3-70b/data/game_log3.json
Llama 3 70B,PGG,game_logs1,30,RQ1_old_result/result_public_goods_group/llama3-70b-three/game_logs1.json
Llama 3 70B,PGG,game_logs2,30,RQ1_old_result/result_public_goods_group/llama3-70b-three/game_logs2.json
Llama 3 70B,PGG,game_logs3,30,RQ1_old_result/result_public_goods_group/llama3-70b-three/game_logs3.json
Llama 3 70B,TG,game_log1,360,RQ1_old_result/result_trust_game_population/30lun_3ci_012402_llama3-70b/data/game_log1.json
Llama 3 70B,TG,game_log2,360,RQ1_old_result/result_trust_game_population/30lun_3ci_012402_llama3-70b/data/game_log2.json
Llama 3 70B,TG,game_log3,360,RQ1_old_result/result_trust_game_population/30lun_3ci_012402_llama3-70b/data/game_log3.json
Qwen 2.5 7B,PD,game_log1,120,RQ1_old_result/result_prisoners_dilemma_group/10lun_3ci_020501_Qwen2.5-7B-Instruct/data/game_log1.json
Qwen 2.5 7B,PD,game_log2,120,RQ1_old_result/result_prisoners_dilemma_group/10lun_3ci_020501_Qwen2.5-7B-Instruct/data/game_log2.json
Qwen 2.5 7B,PD,game_log3,120,RQ1_old_result/result_prisoners_dilemma_group/10lun_3ci_020501_Qwen2.5-7B-Instruct/data/game_log3.json
Qwen 2.5 7B,PGG,game_logs1,30,RQ1_old_result/result_public_goods_group/qwen2.5-7b-instruct-three/game_logs1.json
Qwen 2.5 7B,PGG,game_logs2,30,RQ1_old_result/result_public_goods_group/qwen2.5-7b-instruct-three/game_logs2.json
Qwen 2.5 7B,PGG,game_logs3,30,RQ1_old_result/result_public_goods_group/qwen2.5-7b-instruct-three/game_logs3.json
Qwen 2.5 7B,TG,game_log1,360,RQ1_old_result/result_trust_game_population/020601_30lun_3ci_Qwen2.5-7B-Instruct/data/game_log1.json
Qwen 2.5 7B,TG,game_log2,360,RQ1_old_result/result_trust_game_population/020601_30lun_3ci_Qwen2.5-7B-Instruct/data/game_log2.json
Qwen 2.5 7B,TG,game_log3,360,RQ1_old_result/result_trust_game_population/020601_30lun_3ci_Qwen2.5-7B-Instruct/data/game_log3.json
GLM-5.1,PD,game_log1,120,RQ1_result/result/prisoners_dilemma/090201_glm-5.1/data/game_log1.json
GLM-5.1,PD,game_log2,120,RQ1_result/result/prisoners_dilemma/090201_glm-5.1/data/game_log2.json
GLM-5.1,PD,game_log3,120,RQ1_result/result/prisoners_dilemma/090201_glm-5.1/data/game_log3.json
GLM-5.1,PGG,game_logs1,30,RQ1_result/result/public_goods/result_090801_glm-5.1/game_logs1.json
GLM-5.1,PGG,game_logs2,30,RQ1_result/result/public_goods/result_090801_glm-5.1/game_logs2.json
GLM-5.1,PGG,game_logs3,30,RQ1_result/result/public_goods/result_090801_glm-5.1/game_logs3.json
GLM-5.1,TG,game_log1,360,RQ1_result/result/trust_game/082904_glm-5.1_final/data/game_log1.json
GLM-5.1,TG,game_log2,360,RQ1_result/result/trust_game/082904_glm-5.1_final/data/game_log2.json
GLM-5.1,TG,game_log3,360,RQ1_result/result/trust_game/082904_glm-5.1_final/data/game_log3.json
GPT-5.4,PD,game_log1,120,RQ1_result/result/prisoners_dilemma/082004_gpt-5.4/data/game_log1.json
GPT-5.4,PD,game_log2,120,RQ1_result/result/prisoners_dilemma/082004_gpt-5.4/data/game_log2.json
GPT-5.4,PD,game_log3,120,RQ1_result/result/prisoners_dilemma/082004_gpt-5.4/data/game_log3.json
GPT-5.4,PGG,game_logs1,30,RQ1_result/result/public_goods/result_070108_gpt-5.4/game_logs1.json
GPT-5.4,PGG,game_logs2,30,RQ1_result/result/public_goods/result_070108_gpt-5.4/game_logs2.json
GPT-5.4,PGG,game_logs3,30,RQ1_result/result/public_goods/result_070108_gpt-5.4/game_logs3.json
GPT-5.4,TG,game_log1,360,RQ1_result/result/trust_game/083001_gpt-5.4/data/game_log1.json
GPT-5.4,TG,game_log2,360,RQ1_result/result/trust_game/083001_gpt-5.4/data/game_log2.json
GPT-5.4,TG,game_log3,360,RQ1_result/result/trust_game/083001_gpt-5.4/data/game_log3.json
Gemini 3.1 Pro,PD,game_log1,120,RQ1_result/result/prisoners_dilemma/082003_gemini-3.1-pro-preview/data/game_log1.json
Gemini 3.1 Pro,PD,game_log2,120,RQ1_result/result/prisoners_dilemma/082003_gemini-3.1-pro-preview/data/game_log2.json
Gemini 3.1 Pro,PD,game_log3,120,RQ1_result/result/prisoners_dilemma/082003_gemini-3.1-pro-preview/data/game_log3.json
Gemini 3.1 Pro,PGG,game_logs1,30,RQ1_result/result/public_goods/result_082001_gemini-3.1-pro-preview/game_logs1.json
Gemini 3.1 Pro,PGG,game_logs2,30,RQ1_result/result/public_goods/result_082001_gemini-3.1-pro-preview/game_logs2.json
Gemini 3.1 Pro,PGG,game_logs3,30,RQ1_result/result/public_goods/result_082001_gemini-3.1-pro-preview/game_logs3.json
Gemini 3.1 Pro,TG,game_log1,360,RQ1_result/result/trust_game/091601_gemini-3.1-pro-preview/data/game_log1.json
Gemini 3.1 Pro,TG,game_log2,360,RQ1_result/result/trust_game/091601_gemini-3.1-pro-preview/data/game_log2.json
Gemini 3.1 Pro,TG,game_log3,360,RQ1_result/result/trust_game/091601_gemini-3.1-pro-preview/data/game_log3.json
Claude Opus 4.6,PD,game_log1,120,RQ1_result/result/prisoners_dilemma/070101_claude-opus-4-6/data/game_log1.json
Claude Opus 4.6,PD,game_log2,120,RQ1_result/result/prisoners_dilemma/070101_claude-opus-4-6/data/game_log2.json
Claude Opus 4.6,PD,game_log3,120,RQ1_result/result/prisoners_dilemma/070101_claude-opus-4-6/data/game_log3.json
Claude Opus 4.6,PGG,game_logs1,30,RQ1_result/result/public_goods/result_082001_claude-opus-4-6/game_logs1.json
Claude Opus 4.6,PGG,game_logs2,30,RQ1_result/result/public_goods/result_082001_claude-opus-4-6/game_logs2.json
Claude Opus 4.6,PGG,game_logs3,30,RQ1_result/result/public_goods/result_082001_claude-opus-4-6/game_logs3.json
Claude Opus 4.6,TG,game_log1,360,RQ1_result/result/trust_game/083102_claude-opus-4-6/data/game_log1.json
Claude Opus 4.6,TG,game_log2,360,RQ1_result/result/trust_game/083102_claude-opus-4-6/data/game_log2.json
Claude Opus 4.6,TG,game_log3,360,RQ1_result/result/trust_game/083102_claude-opus-4-6/data/game_log3.json
Kimi K2.6,PD,game_log1,120,RQ1_result/result/prisoners_dilemma/072201_kimi-k2.6/data/game_log1.json
Kimi K2.6,PD,game_log2,120,RQ1_result/result/prisoners_dilemma/072201_kimi-k2.6/data/game_log2.json
Kimi K2.6,PD,game_log3,120,RQ1_result/result/prisoners_dilemma/072201_kimi-k2.6/data/game_log3.json
Kimi K2.6,PGG,game_logs1,30,RQ1_result/result/public_goods/result_072301_kimi-k2.6/game_logs1.json
Kimi K2.6,PGG,game_logs2,30,RQ1_result/result/public_goods/result_072301_kimi-k2.6/game_logs2.json
Kimi K2.6,PGG,game_logs3,30,RQ1_result/result/public_goods/result_072301_kimi-k2.6/game_logs3.json
Kimi K2.6,TG,game_log1,360,RQ1_result/result/trust_game/072201_kimi-k2.6/data/game_log1.json
Kimi K2.6,TG,game_log2,360,RQ1_result/result/trust_game/072201_kimi-k2.6/data/game_log2.json
Kimi K2.6,TG,game_log3,360,RQ1_result/result/trust_game/072201_kimi-k2.6/data/game_log3.json
Grok 4.3,PD,game_log1,120,RQ1_result/result/prisoners_dilemma/072701_grok-4.3/data/game_log1.json
Grok 4.3,PD,game_log2,120,RQ1_result/result/prisoners_dilemma/072701_grok-4.3/data/game_log2.json
Grok 4.3,PD,game_log3,120,RQ1_result/result/prisoners_dilemma/072701_grok-4.3/data/game_log3.json
Grok 4.3,PGG,game_logs1,30,RQ1_result/result/public_goods/result_072202_grok-4.3/game_logs1.json
Grok 4.3,PGG,game_logs2,30,RQ1_result/result/public_goods/result_072202_grok-4.3/game_logs2.json
Grok 4.3,PGG,game_logs3,30,RQ1_result/result/public_goods/result_072202_grok-4.3/game_logs3.json
Grok 4.3,TG,game_log1,360,RQ1_result/result/trust_game/072601_grok-4.3/data/game_log1.json
Grok 4.3,TG,game_log2,360,RQ1_result/result/trust_game/072601_grok-4.3/data/game_log2.json
Grok 4.3,TG,game_log3,360,RQ1_result/result/trust_game/072601_grok-4.3/data/game_log3.json
DeepSeek V4 Pro,PD,game_log1,120,RQ1_result/result/prisoners_dilemma/091501_deepseek-v4-pro/data/game_log1.json
DeepSeek V4 Pro,PD,game_log2,120,RQ1_result/result/prisoners_dilemma/091501_deepseek-v4-pro/data/game_log2.json
DeepSeek V4 Pro,PD,game_log3,120,RQ1_result/result/prisoners_dilemma/091501_deepseek-v4-pro/data/game_log3.json
DeepSeek V4 Pro,PGG,game_logs1,30,RQ1_result/result/public_goods/result_063004_deepseek-v4-pro/game_logs1.json
DeepSeek V4 Pro,PGG,game_logs2,30,RQ1_result/result/public_goods/result_063004_deepseek-v4-pro/game_logs2.json
DeepSeek V4 Pro,PGG,game_logs3,30,RQ1_result/result/public_goods/result_063004_deepseek-v4-pro/game_logs3.json
DeepSeek V4 Pro,TG,game_log1,360,RQ1_result/result/trust_game/091601_deepseek-v4-pro/data/game_log1.json
DeepSeek V4 Pro,TG,game_log2,360,RQ1_result/result/trust_game/091601_deepseek-v4-pro/data/game_log2.json
DeepSeek V4 Pro,TG,game_log3,360,RQ1_result/result/trust_game/091601_deepseek-v4-pro/data/game_log3.json
